IDB,AgeYears,Gender,Condition,robot_OE,robot_OE_cat,robot_ability,robot_ability_r,robot_ability_nr,robot_interest,robot_interest_r,robot_interest_nr,robot_structural,robot_structural_r,robot_structural_nr,robot_control,robot_control_r,robot_control_nr,puzzle_OE,puzzle_OE_cat,puzzle_ability,puzzle_ability_r,puzzle_ability_nr,puzzle_interest,puzzle_interest_r,puzzle_interest_nr,puzzle_structural,puzzle_structural_r,puzzle_structural_nr,puzzle_control,puzzle_control_r,puzzle_control_nr
MSI8,6,Female,Baseline,boys think about technology more,intrinsic,Right,Really right,,Right,A little right,,Right,A little right,,Not right,,Really not right,the girls did not know how to solve puzzles,intrinsic,Right,Really right,,Right,Really right,,Right,Really right,,Not right,,Really not right
MSI9,6,Female,Between,they were learning about boy scientists,structural,Not Right,,A little not right,Not Right,,A little not right,Right,A little right,,Not right,,Really not right,maybe some of the puzzles are really small and have the same colors so you don't know where the pieces have to go,intrinsic,Right,A little right,,Not Right,,Really not right,Right,A little right,,Not right,,Really not right
MSI10,8,Male,Between,probably because they did not know how to control the robots,intrinsic,Not Right,,Really not right,Not Right,,A little not right,Right,A little right,,Not right,,Really not right,puzzles are too hard for them,intrinsic,Not Right,,Really not right,Right,A little right,,Right,A little right,,Not right,,Really not right
IDB16805,5,Male,Within,I don't know,other,Right,Really right,,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,I don't know.,other,Not Right,,Really not right,Not Right,,A little not right,Not right,,A little not right,Not right,,Really not right
IDB9021,8,Female,Between,i think it's because they learned about boy scientists,structural,Not Right,,A little not right,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,i don't know,other,Not Right,,A little not right,Not Right,,A little not right,Right,A little right,,Not right,,Really not right
IDB14491,8,Male,Baseline,no guesses,other,Not Right,,Really not right,Not Right,,A little not right,Not right,,A little not right,Not right,,Really not right,"maybe boys put time and tried and work on puzzle, but maybe girls were trying to win a different competition.",intrinsic,Not Right,,A little not right,Not Right,,A little not right,Not right,,A little not right,Not right,,Really not right
IDB18880,8,Female,Within,because they read about boy scientists textbook and they did not try as hard because the scientists were boys,structural,Not Right,,Really not right,Not Right,,Really not right,Right,Really right,,Right,A little right,,maybe because it was too hard for them & they did not know how to do it,intrinsic,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,Right,A little right,
IDB13810,5,Male,Baseline,i don't know,other,Right,Really right,,Right,Really right,,Not right,,Really not right,Right,Really right,,because they are not good at building,intrinsic,Right,A little right,,Not Right,,Really not right,Not right,,A little not right,Not right,,Really not right
IDB12943,7,Male,Between,maybe because girls weren't very smart and were no textbooks with girl scientists so they didn't know how to make a robot,intrinsic,Not Right,,Really not right,Right,A little right,,Right,Really right,,Not right,,Really not right,maybe its because girls don't really like solving puzzles,intrinsic,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,Not right,,Really not right
IDB22764,7,Male,Within,cuz the boys found better ideas in the textbook than the girls,intrinsic,Not Right,,A little not right,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,cuz the girls didn't read the textbook as well as boys,intrinsic,Right,A little right,,Not Right,,A little not right,Right,Really right,,Not right,,Really not right
IDB9213,8,Male,Within,because there were no girls who won the competition.,intrinsic,Not Right,,A little not right,Not Right,,A little not right,Not right,,Really not right,Not right,,Really not right,"cause they were learning about boys, i think cause they were learning about boys. cause girls may not like to do puzzle. ",structural,Not Right,,A little not right,Right,A little right,,Right,A little right,,Not right,,Really not right
IDB9379,8,Male,Baseline,"There is no girl winners in any of the years in the first video, there can't be just a normal reason. it's probably just because boys studied a bit more, maybe the firls just didn't study that much",intrinsic,Not Right,,A little not right,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right,"I don't like,no, maybe they just forgot about it, because I cannot literally solving puzzles, I can't solve any puzzles, except the small puzzles,maybe the girls just forgot about it, my sister can solve puzzle very well, she is the best at it, so probably girls just forgot about it.",intrinsic,Not Right,,Really not right,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right
IDB37220,6,Female,Within,"probably because they were learning about 2 boy scientists, when they think about 2 girl scientists, then all girls won",structural,Not Right,,A little not right,Right,Really right,,Right,A little right,,Not right,,Really not right,"maybe because boys are better at solving puzzles, I don't know, I can't really tell. ",intrinsic,Right,A little right,,Not Right,,A little not right,Right,Really right,,Not right,,Really not right
IDB11808,6,Female,Within,because the boys made the best robots,intrinsic,Not Right,,A little not right,Not Right,,Really not right,Not right,,Really not right,Right,Really right,,"i dont know, the girls did not make good robots",other,Not Right,,Really not right,Not Right,,Really not right,Right,A little right,,Not right,,A little not right
IDB25601,5,Male,Between,no answer..,other,Right,Really right,,Right,A little right,,Right,Really right,,Not right,,A little not right,no answer,other,Right,Really right,,Right,A little right,,Not right,,A little not right,Not right,,Really not right
IDB1117,5,Male,Within,because the scientists were boys. ,structural,Right,Really right,,Right,Really right,,Right,Really right,,Not right,,A little not right,because they're hard. ,intrinsic,Right,A little right,,Right,Really right,,Right,A little right,,Not right,,Really not right
IDB25654,6,Female,Baseline,I don't know. their roberts did not move,intrinsic,Right,Really right,,Right,Really right,,Right,A little right,,Not right,,Really not right,they were not good at it,intrinsic,Right,Really right,,Not Right,,A little not right,Right,A little right,,Not right,,Really not right
Museum4,5,Female,Baseline,i don't know,other,Right,Really right,,Right,A little right,,Right,Really right,,Not right,,Really not right,because the boys were playing (only the boys were play),other,Right,Really right,,Not Right,,Really not right,Right,Really right,,Not right,,A little not right
Museum5,5,Female,Between,I don't know,other,Not Right,,Really not right,Right,A little right,,Right,Really right,,Right,Really right,,i don't know,other,Right,Really right,,Not Right,,A little not right,Not right,,Really not right,Right,Really right,
MSI20,6,Male,Within,because they were first and the boys were last,other,Not Right,,Really not right,Not Right,,Really not right,Not right,,A little not right,Not right,,Really not right,because they lost ,intrinsic,Not Right,,A little not right,Not Right,,Really not right,Right,Really right,,Not right,,Really not right
IDB15771,8,Male,Within,because the textbook was on a boy scientist,structural,Not Right,,A little not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,skip,other,Not Right,,Really not right,Not Right,,A little not right,Right,Really right,,Not right,,A little not right
